,user_id,item_id,rating
0,0,1511,1
1,0,3275,2
2,0,3270,4
3,0,8667,1
4,0,3159,1
5,0,5528,1
6,0,2492,3
7,0,762,3
8,0,6440,5
9,0,5429,1
10,0,6071,2
11,0,834,5
12,0,7864,3
13,0,8953,2
14,1,5941,3
15,1,116,5
16,1,5851,5
17,1,1128,2
18,1,6623,4
19,1,8659,1
20,1,409,3
21,1,8717,5
22,1,1418,2
23,1,7735,5
24,1,5909,3
25,1,3185,3
26,1,1303,2
27,1,6774,2
28,1,4697,1
29,1,3013,5
30,1,9573,3
31,1,705,3
32,1,9732,4
33,1,6305,3
34,1,8484,3
35,1,1325,5
36,1,654,2
37,2,791,4
38,2,4684,2
39,2,943,5
40,2,6994,5
41,2,4567,1
42,2,1759,5
43,2,565,4
44,2,8781,4
45,2,9110,3
46,2,2501,2
47,2,7526,3
48,2,5713,3
49,2,4785,5
50,2,8518,3
51,2,1591,1
52,2,1129,5
53,2,6424,1
54,2,8435,4
55,2,4162,2
56,2,1246,4
57,2,3870,4
58,2,7905,4
59,2,8818,3
60,2,6037,1
61,2,6452,4
62,2,9613,2
63,2,726,5
64,2,441,1
65,2,9736,2
66,2,9362,2
67,2,4406,5
68,2,4774,5
69,2,8442,4
70,2,8313,2
71,2,4548,3
72,3,7524,5
73,3,2913,2
74,3,3018,4
75,3,6002,3
76,3,4070,4
77,3,5782,1
78,3,4382,1
79,3,8150,5
80,3,2373,2
81,3,2081,2
82,3,9895,4
83,4,1059,2
84,4,1123,5
85,4,1698,3
86,4,2924,5
87,4,3546,3
88,4,6861,5
89,4,2475,1
90,4,81,3
91,4,233,1
92,4,2534,3
93,4,7280,5
94,4,7513,3
95,4,8598,1
96,4,3468,5
97,4,9718,5
98,4,5755,3
99,4,1680,5
100,4,6509,3
101,4,940,3
102,4,2503,4
103,4,2517,4
104,4,7337,5
105,5,8675,3
106,5,3336,5
107,5,9770,4
108,5,3358,3
109,5,365,5
110,5,6122,5
111,5,8853,5
112,5,1823,2
113,5,8138,5
114,5,8814,2
115,5,192,3
116,5,7983,1
117,5,6614,5
118,5,579,1
119,5,511,1
120,5,3778,1
121,6,9290,1
122,6,4825,4
123,6,9738,2
124,6,3467,4
125,6,2971,5
126,6,4521,2
127,6,6015,4
128,6,3470,2
129,6,7876,3
130,6,1064,5
131,6,4703,3
132,6,8850,1
133,6,350,1
134,6,9841,5
135,6,2221,5
136,6,522,4
137,6,7764,1
138,6,7348,4
139,6,1101,3
140,6,8573,3
141,6,9379,2
142,6,1124,5
143,6,8628,2
144,6,2046,5
145,6,4022,4
146,6,9972,2
147,6,4001,2
148,6,1830,4
149,6,961,5
150,6,8896,1
151,6,4159,4
152,6,5479,4
153,6,2293,1
154,6,179,2
155,6,8639,2
156,6,4448,5
157,6,9324,4
158,6,1701,2
159,7,5069,5
160,7,7453,3
161,7,4163,1
162,7,7094,2
163,7,3369,2
164,7,6649,4
165,7,5979,5
166,7,2504,5
167,7,7626,5
168,7,7367,5
169,7,1140,4
170,7,2866,5
171,7,2717,5
172,7,7443,4
173,7,3590,2
174,7,2480,3
175,7,9686,3
176,7,4807,3
177,7,4770,4
178,7,36,2
179,7,7395,3
180,7,9764,5
181,7,4065,1
182,7,8685,5
183,7,7756,1
184,7,224,3
185,7,6892,2
186,7,9311,3
187,7,6198,1
188,7,2925,2
189,7,1750,4
190,7,9667,4
191,7,910,5
192,8,4463,1
193,8,4320,2
194,8,2824,5
195,8,6189,5
196,8,3934,1
197,8,5495,1
198,8,6329,3
199,8,6471,5
200,8,7090,4
201,8,758,4
202,8,3383,2
203,8,566,4
204,8,3846,4
205,8,1266,5
206,8,1779,1
207,8,9935,1
208,8,7611,3
209,8,6516,2
210,8,2048,1
211,8,1894,2
212,8,3456,4
213,8,5994,1
214,8,1834,5
215,8,3299,5
216,8,2363,3
217,8,188,5
218,8,58,2
219,8,4916,4
220,8,8425,3
221,8,1138,2
222,8,9005,2
223,8,627,2
224,8,9057,2
225,8,3957,2
226,8,6508,3
227,8,1448,3
228,8,5137,3
229,9,7356,5
230,9,1830,2
231,9,3474,2
232,9,3539,2
233,9,4736,3
234,9,5577,5
235,9,2722,5
236,9,5811,4
237,9,5211,3
238,9,5706,5
239,9,5508,2
240,9,7688,1
241,9,4913,2
242,9,6257,2
243,9,4297,3
244,9,3729,1
245,9,9287,4
246,9,9026,4
247,9,1651,5
